Date,Price,Open,High,Low,Vol.,Change %
2022-06-21,1224.54,1220.76,1240.8,1212.69,172800000,-0.08
2022-06-20,1225.56,1258.3,1262.83,1223.03,168770000,-2.58
2022-06-17,1258.03,1254.05,1259.39,1229.74,187300000,-1.74
2022-06-16,1280.37,1266.87,1292.02,1263.56,156460000,2.18
2022-06-15,1253.09,1263.96,1268.33,1231.12,167430000,-0.64
2022-06-14,1261.16,1247.39,1271.28,1245.26,145640000,0.02
2022-06-13,1260.85,1295.26,1300.45,1260.85,199020000,-4.89
2022-06-10,1325.69,1332.93,1344.85,1325.69,136590000,-1.28
2022-06-09,1342.92,1344.56,1346.13,1335.28,126600000,0.07
2022-06-08,1342.03,1328.95,1348.4,1325.65,163070000,1.33
2022-06-07,1324.37,1323.19,1324.37,1297.98,153980000,-0.2
2022-06-06,1327.04,1328.73,1336.96,1320.97,132830000,-0.03
2022-06-03,1327.4,1325.49,1329.9,1313.4,100180000,0.14
2022-06-02,1325.49,1339.12,1342.47,1319.85,133900000,-0.75
2022-06-01,1335.49,1329.02,1341.47,1323.07,127580000,0.22
2022-05-31,1332.59,1342.08,1342.08,1324.46,127920000,-0.77
2022-05-30,1342.87,1337.39,1342.87,1329.38,121530000,0.54
2022-05-27,1335.68,1311.78,1336.99,1310.64,139410000,2.0
2022-05-26,1309.5,1312.56,1319.21,1304.59,127930000,-0.09
2022-05-25,1310.7,1277.54,1311.32,1273.29,172700000,2.98
2022-05-24,1272.71,1255.77,1272.71,1242.36,146370000,1.38
2022-05-23,1255.35,1287.49,1287.65,1245.41,139330000,-2.12
2022-05-20,1282.51,1284.89,1296.0,1273.4,110100000,-0.08
2022-05-19,1283.55,1259.59,1291.49,1255.63,130080000,-0.22
2022-05-18,1286.41,1289.5,1298.69,1268.13,159940000,0.54
2022-05-17,1279.55,1211.88,1279.55,1203.51,161820000,5.31
2022-05-16,1215.08,1254.88,1258.25,1214.29,172770000,-0.71
2022-05-13,1223.76,1281.28,1284.94,1219.52,237560000,-4.38
2022-05-12,1279.76,1337.01,1339.25,1279.48,163220000,-5.19
2022-05-11,1349.82,1344.14,1355.11,1324.2,94770000,0.32
2022-05-10,1345.46,1312.1,1345.46,1285.67,157230000,2.39
2022-05-09,1314.04,1358.56,1360.64,1308.34,200880000,-4.31
2022-05-06,1373.21,1399.54,1399.54,1371.0,129910000,-2.25
2022-05-05,1404.88,1402.6,1405.43,1373.42,122130000,1.1
2022-05-04,1389.59,1415.43,1415.45,1389.59,114190000,-1.96
2022-04-29,1417.31,1400.88,1417.31,1394.17,128040000,1.17
2022-04-28,1400.88,1400.6,1407.82,1392.24,91680000,-0.08
2022-04-27,1402.03,1394.85,1407.7,1362.87,108120000,0.37
2022-04-26,1396.9,1347.83,1397.43,1318.5,181780000,2.23
2022-04-25,1366.39,1444.79,1445.62,1356.36,202430000,-5.4
2022-04-22,1444.32,1439.32,1455.15,1419.05,150760000,1.22
2022-04-21,1426.87,1434.77,1452.41,1422.7,172360000,-0.6
2022-04-20,1435.5,1440.9,1453.81,1434.87,150220000,-0.35
2022-04-19,1440.61,1471.63,1478.5,1440.61,156620000,-1.88
2022-04-18,1468.25,1493.17,1493.24,1466.73,194440000,-1.71
2022-04-15,1493.74,1514.89,1518.85,1491.26,181770000,-1.6
2022-04-14,1518.01,1526.49,1534.28,1517.07,119610000,-0.48
2022-04-13,1525.39,1512.37,1526.44,1506.45,143870000,1.21
2022-04-12,1507.2,1530.3,1532.03,1506.41,152480000,-1.12
2022-04-08,1524.31,1541.78,1547.6,1524.31,156340000,-1.14
2022-04-07,1541.96,1561.14,1566.09,1541.96,198970000,-0.97
2022-04-06,1557.11,1534.23,1558.41,1529.23,203570000,1.16
2022-04-05,1539.2,1544.34,1549.77,1539.2,125170000,-0.57
2022-04-04,1548.04,1558.21,1558.98,1546.46,160180000,0.36
2022-04-01,1542.47,1509.01,1542.47,1506.11,195610000,2.25
2022-03-31,1508.53,1502.38,1512.47,1500.67,121690000,0.55
2022-03-30,1500.23,1497.98,1513.91,1496.59,163900000,-0.02
2022-03-29,1500.57,1484.95,1501.05,1484.95,110330000,1.11
2022-03-28,1484.16,1493.12,1497.06,1477.72,177240000,-0.95
2022-03-25,1498.36,1499.34,1503.18,1494.28,109440000,0.06
2022-03-24,1497.44,1506.49,1506.79,1496.96,115640000,-0.54
2022-03-23,1505.59,1514.61,1519.58,1505.59,132330000,-0.52
2022-03-22,1513.4,1507.38,1516.7,1506.1,155230000,0.71
2022-03-21,1502.67,1480.29,1502.67,1480.29,124700000,1.74
2022-03-18,1476.94,1474.02,1482.96,1474.02,148420000,0.48
2022-03-17,1469.92,1480.32,1480.86,1469.92,109380000,-0.19
2022-03-16,1472.69,1475.17,1478.42,1467.95,106840000,0.26
2022-03-15,1468.89,1461.4,1469.52,1455.16,136420000,0.53
2022-03-14,1461.1,1471.44,1473.98,1454.34,177210000,-1.09
2022-03-11,1477.14,1487.92,1490.83,1469.22,178190000,-0.88
2022-03-10,1490.24,1491.9,1505.5,1490.24,148750000,0.07
2022-03-09,1489.25,1493.96,1497.75,1485.15,190160000,-0.06
2022-03-08,1490.17,1500.07,1506.65,1486.68,222310000,-1.26
2022-03-07,1509.12,1514.76,1518.32,1505.79,222540000,-1.06
2022-03-04,1525.34,1525.23,1529.93,1519.97,220070000,0.19
2022-03-03,1522.49,1507.53,1522.49,1502.41,244080000,1.59
2022-03-02,1498.61,1516.31,1517.49,1495.16,291450000,-1.42
2022-03-01,1520.12,1521.44,1525.0,1515.49,187030000,0.19
2022-02-28,1517.18,1525.58,1533.32,1512.45,193570000,-0.61
2022-02-25,1526.5,1531.97,1540.13,1526.5,198110000,0.29
2022-02-24,1522.04,1537.5,1540.13,1503.22,275310000,-1.09
2022-02-23,1538.83,1536.6,1547.19,1534.19,158140000,0.42
2022-02-22,1532.36,1532.07,1532.36,1510.07,223630000,-0.07
2022-02-21,1533.4,1530.65,1537.56,1522.48,163180000,0.13
2022-02-18,1531.47,1525.21,1533.53,1523.88,155110000,-0.59
2022-02-17,1540.51,1521.37,1540.51,1521.37,146570000,1.25
2022-02-16,1521.47,1534.39,1534.5,1517.52,122060000,-0.39
2022-02-15,1527.36,1508.25,1530.04,1506.69,180950000,1.48
2022-02-14,1505.07,1530.5,1536.77,1505.07,254060000,-2.64
2022-02-11,1545.92,1544.76,1549.37,1540.5,167680000,-0.2
2022-02-10,1548.95,1554.98,1557.89,1536.02,225000000,-0.22
2022-02-09,1552.44,1554.59,1570.32,1552.44,230550000,0.13
2022-02-08,1550.46,1539.49,1555.01,1537.16,218960000,0.6
2022-02-07,1541.25,1548.38,1555.01,1541.25,182870000,0.59
2022-01-28,1532.24,1516.4,1535.57,1515.85,194570000,1.03
2022-01-27,1516.57,1520.82,1528.81,1507.26,158580000,-0.57
2022-01-26,1525.31,1519.9,1533.61,1516.96,236860000,0.6
2022-01-25,1516.16,1471.56,1516.16,1466.07,191550000,3.05
2022-01-24,1471.31,1496.36,1499.22,1465.76,243480000,-2.05
2022-01-21,1502.16,1497.61,1508.65,1492.21,218980000,0.63
