Date,Price,Open,High,Low,Vol.,Change %
2022-01-28,1478.96,1470.76,1484.48,1465.22,702680000,0.56
2022-01-27,1470.76,1481.58,1486.39,1464.06,564600000,-0.73
2022-01-26,1481.58,1479.58,1490.45,1478.41,813180000,0.14
2022-01-25,1479.58,1439.71,1479.58,1424.36,751390000,2.77
2022-01-24,1439.71,1472.89,1472.89,1432.18,828130000,-2.25
2022-01-21,1472.89,1465.3,1477.23,1463.06,811350000,0.52
2022-01-20,1465.3,1442.79,1469.08,1432.58,785760000,1.56
2022-01-19,1442.79,1438.94,1449.11,1434.46,637630000,0.27
2022-01-18,1438.94,1452.84,1452.84,1424.65,739290000,-0.96
2022-01-17,1452.84,1496.02,1503.86,1452.84,987100000,-2.89
2022-01-14,1496.02,1496.05,1503.25,1476.68,785610000,0.0
2022-01-13,1496.05,1510.51,1522.6,1495.13,995820000,-0.96
2022-01-12,1510.51,1489.11,1510.51,1464.49,1130000000,1.22
2022-01-11,1492.31,1503.71,1512.05,1488.4,1250000000,-0.76
2022-01-10,1503.71,1528.48,1536.45,1503.71,1380000000,-1.62
2022-01-07,1528.48,1534.1,1534.52,1524.96,1030000000,-0.01
2022-01-06,1528.57,1522.5,1536.24,1518.18,1130000000,0.4
2022-01-05,1522.5,1525.58,1535.82,1522.5,1060000000,-0.2
2022-01-04,1525.58,1508.55,1526.69,1507.19,891300000,1.82
2021-12-31,1498.28,1485.97,1499.07,1485.97,875730000,0.83
2021-12-30,1485.97,1490.96,1493.38,1484.82,747860000,0.01
2021-12-29,1485.82,1494.39,1498.91,1485.82,843880000,-0.57
2021-12-28,1494.39,1488.88,1499.77,1483.97,1000000000,0.37
2021-12-27,1488.88,1477.03,1490.12,1469.91,752110000,0.8
2021-12-24,1477.03,1456.96,1478.8,1456.32,889480000,1.38
2021-12-23,1456.96,1477.67,1481.21,1447.14,1360000000,-1.4
2021-12-22,1477.67,1478.74,1489.24,1471.84,1070000000,-0.07
2021-12-21,1478.74,1477.33,1486.09,1472.43,902840000,0.1
2021-12-20,1477.33,1479.79,1483.85,1468.88,963350000,-0.17
