Date,Price,Open,High,Low,Vol.,Change %
2021-12-31,1498.28,1485.97,1499.07,1485.97,875730000,0.83
2021-12-30,1485.97,1490.96,1493.38,1484.82,747860000,0.01
2021-12-29,1485.82,1494.39,1498.91,1485.82,843880000,-0.57
2021-12-28,1494.39,1488.88,1499.77,1483.97,1000000000,0.37
2021-12-27,1488.88,1477.03,1490.12,1469.91,752110000,0.8
2021-12-24,1477.03,1456.96,1478.8,1456.32,889480000,1.38
2021-12-23,1456.96,1477.67,1481.21,1447.14,1360000000,-1.4
2021-12-22,1477.67,1478.74,1489.24,1471.84,1070000000,-0.07
2021-12-21,1478.74,1477.33,1486.09,1472.43,902840000,0.1
2021-12-20,1477.33,1479.79,1483.85,1468.88,963350000,-0.17
2021-12-17,1479.79,1476.61,1487.73,1476.61,1110000000,0.22
2021-12-16,1476.61,1475.5,1482.32,1468.95,927540000,0.08
2021-12-15,1475.5,1476.02,1481.67,1468.21,906080000,-0.04
2021-12-14,1476.02,1476.21,1485.14,1469.21,964110000,-0.01
2021-12-13,1476.21,1463.54,1481.7,1463.54,865580000,0.87
2021-12-10,1463.54,1467.98,1475.85,1461.78,798290000,-0.3
2021-12-09,1467.98,1452.87,1467.98,1446.88,665460000,1.04
2021-12-08,1452.87,1446.77,1460.28,1446.77,771030000,0.42
2021-12-07,1446.77,1413.58,1446.77,1413.58,755910000,2.35
2021-12-06,1413.58,1443.32,1452.55,1400.87,1040000000,-2.06
2021-12-03,1443.32,1482.05,1491.2,1443.32,1100000000,-2.61
2021-12-02,1482.05,1485.19,1493.84,1482.05,763960000,-0.21
2021-12-01,1485.19,1478.44,1487.68,1471.3,876730000,0.46
2021-11-30,1478.44,1484.84,1503.09,1471.57,1080000000,-0.43
2021-11-29,1484.84,1493.03,1493.03,1464.83,1010000000,-0.55
2021-11-26,1493.03,1500.81,1511.68,1488.83,1060000000,-0.52
2021-11-25,1500.81,1488.87,1505.36,1488.87,1010000000,0.8
2021-11-24,1488.87,1463.63,1491.05,1463.63,1120000000,1.72
